,MAINTENANCE_021,HIGHWAY_DISTRICT_002,YEAR_BUILT_027,ADT_029,YEAR_ADT_030,MEMBRANE_TYPE_108B,SURFACE_TYPE_108A,DECK_STRUCTURE_TYPE_107,YEAR_RECONSTRUCTED_106,STRUCTURAL_EVAL_067,DECK_GEOMETRY_EVAL_068,INVENTORY_RATING_066,OPERATING_RATING_064,STRUCTURE_KIND_043A,STRUCTURE_TYPE_043B,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,CHANNEL_COND_061,CULVERT_COND_062,LONG_017,LAT_016
14133,1,12,1982,17990,2013,0,0,1,0.0,7,6,32.7,54.4,5,2,30.5,149.4,16.6,17.4,1,1,1,0,0,94571547,29450816
14134,1,12,1982,17990,2013,0,0,1,0.0,7,6,32.7,54.4,5,2,30.5,149.4,16.6,17.4,1,1,1,0,0,94572156,29450543
14135,1,12,1971,36065,2019,0,0,1,0.0,6,6,39.0,68.0,5,2,18.3,85.3,16.8,17.2,1,1,1,0,0,94593051,29432652
14136,1,12,1971,40210,2019,0,0,1,0.0,7,6,36.3,68.0,5,2,32.0,674.5,16.9,17.5,0,1,1,1,0,94594033,29435673
14137,1,12,1996,58864,2020,0,0,2,0.0,6,9,32.7,54.4,5,2,30.5,91.4,35.4,36.9,0,1,1,0,0,94595015,29430140
14138,1,12,1996,21670,2010,0,0,2,0.0,7,8,32.7,54.4,5,2,32.0,210.3,7.9,8.8,1,1,1,1,0,94595882,29425139
14139,1,12,1996,21670,2010,0,0,1,0.0,7,8,32.7,54.4,4,2,42.7,109.7,7.9,8.8,1,1,1,1,0,94595384,29425073
14140,1,12,1996,66848,2020,0,0,2,0.0,6,9,32.7,54.4,5,2,24.4,97.5,42.1,43.5,1,1,1,0,0,94592635,29442494
14141,1,12,1996,17970,2010,0,0,1,0.0,7,7,32.7,54.4,4,2,67.1,378.0,11.0,11.8,1,1,1,0,0,94595315,29425028
14142,1,12,1996,38557,2020,0,0,2,0.0,7,9,32.7,54.4,5,2,34.1,694.9,34.7,36.2,1,1,1,1,0,94583599,29450077
