MAINTENANCE_021,HIGHWAY_DISTRICT_002,YEAR_BUILT_027,ADT_029,YEAR_ADT_030,MEMBRANE_TYPE_108B,SURFACE_TYPE_108A,DECK_STRUCTURE_TYPE_107,YEAR_RECONSTRUCTED_106,STRUCTURAL_EVAL_067,DECK_GEOMETRY_EVAL_068,INVENTORY_RATING_066,OPERATING_RATING_064,STRUCTURE_KIND_043A,STRUCTURE_TYPE_043B,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,CHANNEL_COND_061,CULVERT_COND_062
1.0,1.0,1971.0,865.0,2020.0,N,N,N,0.0,6,6,23.6,39.9,1.0,19.0,3.0,12.8,9.8,19.8,N,N,N,5,6
1.0,1.0,1934.0,943.0,2020.0,0,6,1,1971.0,6,6,24.5,32.7,1.0,19.0,1.8,24.1,9.8,17.5,N,N,N,6,6
1.0,1.0,1971.0,943.0,2020.0,0,6,1,0.0,6,6,23.6,39.9,1.0,19.0,2.7,9.8,10.2,17.5,N,N,N,6,6
1.0,1.0,1994.0,865.0,2020.0,0,6,1,0.0,6,6,32.7,54.4,5.0,2.0,29.0,86.9,9.1,9.8,7,7,6,5,N
1.0,1.0,2004.0,868.0,2020.0,0,0,2,0.0,6,7,32.7,54.4,5.0,2.0,33.5,137.2,11.9,12.8,7,7,6,5,N
1.0,1.0,1952.0,258.0,2020.0,0,6,1,1994.0,6,9,24.5,32.7,1.0,19.0,2.4,13.1,17.1,17.5,N,N,N,7,6
1.0,1.0,1984.0,1988.0,2020.0,0,6,1,0.0,6,6,40.8,68.0,1.0,2.0,12.5,31.4,10.4,11.0,7,7,6,6,N
1.0,1.0,1984.0,902.0,2020.0,0,6,1,0.0,6,6,40.8,68.0,1.0,2.0,12.5,74.7,10.4,11.0,7,6,6,6,N
1.0,1.0,1990.0,1988.0,2020.0,0,6,1,0.0,6,4,23.6,39.9,1.0,19.0,3.0,10.1,7.3,17.1,N,N,N,6,7
1.0,1.0,1994.0,258.0,2020.0,0,0,2,0.0,7,6,32.7,54.4,5.0,2.0,22.9,59.4,9.1,9.8,7,7,7,7,N
1.0,1.0,1994.0,258.0,2020.0,0,0,2,0.0,7,6,32.7,54.4,5.0,2.0,22.9,64.0,9.1,9.8,7,7,7,6,N
1.0,1.0,1996.0,250.0,2020.0,0,0,2,0.0,5,6,32.7,54.4,5.0,2.0,36.6,103.6,9.1,9.8,7,7,5,5,N
1.0,1.0,1958.0,389.0,2020.0,0,6,1,0.0,6,5,30.8,51.7,1.0,2.0,9.1,27.4,7.8,8.4,7,7,6,7,N
1.0,1.0,1958.0,676.0,2020.0,0,6,1,0.0,6,4,30.8,51.7,1.0,2.0,9.1,27.4,7.8,8.4,7,7,6,6,N
1.0,1.0,1958.0,676.0,2020.0,0,6,1,0.0,6,4,30.8,51.7,1.0,2.0,9.1,27.4,7.8,8.4,7,7,6,6,N
1.0,1.0,1943.0,4521.0,2020.0,N,N,N,1997.0,6,9,23.6,39.9,1.0,19.0,1.5,7.0,17.7,27.4,N,N,N,7,7
1.0,1.0,2004.0,8000.0,2010.0,0,0,2,0.0,7,5,32.7,54.4,5.0,2.0,27.4,85.3,13.2,14.0,5,7,7,N,N
1.0,1.0,1952.0,4418.0,2020.0,N,N,N,1970.0,6,N,24.5,32.7,1.0,19.0,3.0,7.6,0.0,0.0,N,N,N,7,6
1.0,1.0,1934.0,4969.0,2020.0,0,6,1,1959.0,5,7,38.1,64.4,4.0,2.0,6.1,24.4,13.4,14.0,6,6,5,7,N
1.0,1.0,1934.0,4969.0,2020.0,0,6,1,1959.0,6,7,38.1,64.4,4.0,2.0,6.1,24.4,13.4,14.0,6,6,6,6,N
1.0,1.0,1934.0,2080.0,2020.0,0,6,1,1959.0,6,7,38.1,64.4,4.0,2.0,6.1,61.0,13.4,14.0,6,6,6,6,N
21.0,1.0,2021.0,2331.0,2018.0,0,0,2,0.0,7,7,32.7,54.4,5.0,2.0,41.1,700.4,13.4,14.1,7,8,7,7,N
1.0,1.0,1938.0,2680.0,2020.0,0,6,1,0.0,6,5,25.4,41.7,1.0,1.0,6.1,30.5,12.1,15.9,6,6,6,6,N
1.0,1.0,1938.0,2680.0,2020.0,N,N,N,0.0,6,N,24.5,32.7,1.0,19.0,2.4,13.4,0.0,0.0,N,N,N,5,6
1.0,1.0,1938.0,2786.0,2020.0,N,N,N,0.0,6,N,24.5,32.7,1.0,19.0,1.5,7.0,0.0,0.0,N,N,N,6,7
1.0,1.0,1947.0,2136.0,2020.0,0,6,1,0.0,6,4,23.6,39.9,1.0,19.0,3.0,6.7,9.0,14.7,N,N,N,7,7
1.0,1.0,1947.0,2136.0,2020.0,0,6,1,0.0,5,3,21.8,37.2,4.0,2.0,27.4,159.1,7.9,8.9,6,6,6,6,N
1.0,1.0,1936.0,1462.0,2020.0,0,6,1,0.0,5,4,24.5,32.7,1.0,19.0,1.5,8.2,7.7,16.3,N,N,N,5,5
1.0,1.0,1936.0,1720.0,2020.0,0,6,1,0.0,5,4,24.5,32.7,1.0,19.0,1.8,7.0,7.7,14.8,N,N,N,5,5
1.0,1.0,1936.0,1720.0,2020.0,0,6,1,0.0,6,5,24.5,32.7,1.0,19.0,1.8,11.6,10.1,14.7,N,N,N,7,7
1.0,1.0,1957.0,2544.0,2020.0,N,N,N,0.0,6,N,24.5,32.7,1.0,19.0,3.0,10.1,0.0,0.0,N,N,N,7,6
1.0,1.0,1957.0,2544.0,2020.0,N,N,N,0.0,6,N,24.5,32.7,1.0,19.0,2.7,8.8,0.0,0.0,N,N,N,6,6
1.0,1.0,1957.0,2512.0,2020.0,0,6,1,0.0,6,9,24.5,32.7,1.0,19.0,3.0,10.1,17.1,17.5,N,N,N,6,6
1.0,1.0,1957.0,2512.0,2020.0,N,N,N,0.0,6,N,24.5,32.7,1.0,19.0,3.0,10.1,0.0,0.0,N,N,N,5,7
1.0,1.0,1957.0,2512.0,2020.0,N,N,N,0.0,6,N,24.5,32.7,1.0,19.0,3.0,6.7,0.0,0.0,N,N,N,7,6
1.0,1.0,1957.0,2012.0,2019.0,N,N,N,0.0,6,N,24.5,32.7,1.0,19.0,3.0,6.7,0.0,0.0,N,N,N,6,7
1.0,1.0,1957.0,2012.0,2019.0,N,N,N,0.0,6,N,24.5,32.7,1.0,19.0,3.0,6.7,0.0,0.0,N,N,N,7,6
